SettlementPoint,NodeType,YearMonth,AvgPrice
LZ_CPS,LoadZone,2019-08,127.6962
LZ_CPS,LoadZone,2019-09,82.4363
LZ_CPS,LoadZone,2019-10,33.5536
LZ_CPS,LoadZone,2019-11,25.5751
LZ_CPS,LoadZone,2019-12,19.9979
LZ_HOUSTON,LoadZone,2016-01,19.5639
LZ_HOUSTON,LoadZone,2016-02,15.488
LZ_HOUSTON,LoadZone,2016-03,17.2067
LZ_HOUSTON,LoadZone,2016-04,19.1289
LZ_HOUSTON,LoadZone,2016-05,19.904
LZ_HOUSTON,LoadZone,2016-06,29.9151
LZ_HOUSTON,LoadZone,2016-07,29.9119
LZ_HOUSTON,LoadZone,2016-08,33.5635
LZ_HOUSTON,LoadZone,2016-09,29.0327
LZ_HOUSTON,LoadZone,2016-10,28.5458
LZ_HOUSTON,LoadZone,2016-11,20.4377
LZ_HOUSTON,LoadZone,2016-12,25.7368
LZ_HOUSTON,LoadZone,2017-01,24.8274
LZ_HOUSTON,LoadZone,2017-02,23.5172
LZ_HOUSTON,LoadZone,2017-03,28.742
LZ_HOUSTON,LoadZone,2017-04,32.9671
LZ_HOUSTON,LoadZone,2017-05,32.3626
LZ_HOUSTON,LoadZone,2017-06,33.6689
LZ_HOUSTON,LoadZone,2017-07,34.7258
LZ_HOUSTON,LoadZone,2017-08,30.0315
LZ_HOUSTON,LoadZone,2017-09,27.41
LZ_HOUSTON,LoadZone,2017-10,31.3394
LZ_HOUSTON,LoadZone,2017-11,26.3396
LZ_HOUSTON,LoadZone,2017-12,21.9798
LZ_HOUSTON,LoadZone,2018-01,38.045
LZ_HOUSTON,LoadZone,2018-02,22.3758
LZ_HOUSTON,LoadZone,2018-03,23.9335
LZ_HOUSTON,LoadZone,2018-04,24.7283
LZ_HOUSTON,LoadZone,2018-05,35.533
LZ_HOUSTON,LoadZone,2018-06,31.8023
LZ_HOUSTON,LoadZone,2018-07,79.5665
LZ_HOUSTON,LoadZone,2018-08,32.1596
LZ_HOUSTON,LoadZone,2018-09,27.7224
LZ_HOUSTON,LoadZone,2018-10,31.7811
LZ_HOUSTON,LoadZone,2018-11,31.7303
LZ_HOUSTON,LoadZone,2018-12,30.4621
LZ_HOUSTON,LoadZone,2019-01,25.5501
LZ_HOUSTON,LoadZone,2019-02,21.6443
LZ_HOUSTON,LoadZone,2019-03,28.0803
LZ_HOUSTON,LoadZone,2019-04,24.2646
LZ_HOUSTON,LoadZone,2019-05,25.1536
LZ_HOUSTON,LoadZone,2019-06,27.2267
LZ_HOUSTON,LoadZone,2019-07,30.0131
LZ_HOUSTON,LoadZone,2019-08,126.6934
LZ_HOUSTON,LoadZone,2019-09,80.7793
LZ_HOUSTON,LoadZone,2019-10,30.6424
LZ_HOUSTON,LoadZone,2019-11,24.1816
LZ_HOUSTON,LoadZone,2019-12,18.9199
LZ_LCRA,LoadZone,2016-01,19.3175
LZ_LCRA,LoadZone,2016-02,15.4885
LZ_LCRA,LoadZone,2016-03,16.7963
LZ_LCRA,LoadZone,2016-04,18.3927
LZ_LCRA,LoadZone,2016-05,18.1828
LZ_LCRA,LoadZone,2016-06,24.1644
LZ_LCRA,LoadZone,2016-07,27.5922
LZ_LCRA,LoadZone,2016-08,31.1756
LZ_LCRA,LoadZone,2016-09,27.0399
LZ_LCRA,LoadZone,2016-10,26.0684
LZ_LCRA,LoadZone,2016-11,19.5417
LZ_LCRA,LoadZone,2016-12,25.4879
LZ_LCRA,LoadZone,2017-01,23.4363
LZ_LCRA,LoadZone,2017-02,20.6608
LZ_LCRA,LoadZone,2017-03,23.4371
LZ_LCRA,LoadZone,2017-04,24.4774
LZ_LCRA,LoadZone,2017-05,25.638
LZ_LCRA,LoadZone,2017-06,28.6391
LZ_LCRA,LoadZone,2017-07,31.9057
LZ_LCRA,LoadZone,2017-08,27.678
LZ_LCRA,LoadZone,2017-09,24.8134
LZ_LCRA,LoadZone,2017-10,24.4843
LZ_LCRA,LoadZone,2017-11,23.0471
